station,degC,degC_1,days,mm,hours
Aberporth,1954,11,10.4,5.9,---
Aberporth,1954,12,9.2,6.2,---
Aberporth,1955,1,6.1,2.4,---
Aberporth,1955,2,4.6,0.2,---
Aberporth,1955,3,6.9,0.5,---
Aberporth,1955,4,11.9,5.4,---
Aberporth,1955,5,12.6,6.9,---
Aberporth,1955,6,16.5,10.9,---
Aberporth,1955,7,19.2,11.6,---
Aberporth,1955,8,21.3,14.0,---
Aberporth,1955,9,17.2,11.6,---
Aberporth,1955,10,12.9,8.0,---
Aberporth,1955,11,10.3,5.2,---
Aberporth,1955,12,9.1,5.6,---
Aberporth,1956,1,7.1,3.6,---
Aberporth,1956,2,3.4,-1.8,---
Aberporth,1956,3,10.6,3.9,---
Aberporth,1956,4,10.6,3.8,---
Aberporth,1956,5,14.5,7.7,---
Aberporth,1956,6,15.0,9.3,---
Aberporth,1956,7,17.6,12.0,---
Aberporth,1956,8,15.7,10.7,---
Aberporth,1956,9,16.9,11.9,---
Aberporth,1956,10,12.7,8.2,---
Aberporth,1956,11,9.1,6.0,---
Aberporth,1956,12,8.5,5.4,---
Aberporth,1957,1,8.6,3.9,2
Aberporth,1957,2,8.5,3.2,2
Aberporth,1957,3,12.2,7.4,0
Aberporth,1957,4,11.3,6.2,0
Aberporth,1957,5,13.6,7.4,0
Aberporth,1957,6,18.2,10.6,0
Aberporth,1957,7,17.7,12.7,0
Aberporth,1957,8,17.7,12.5,0
Aberporth,1957,9,15.3,11.1,0
Aberporth,1957,10,13.8,9.3,0
Aberporth,1957,11,9.2,5.1,1
Aberporth,1957,12,8.4,3.3,3
Aberporth,1958,1,7.7,3.2,7
Aberporth,1958,2,8.4,3.7,2
Aberporth,1958,3,7.6,1.7,8
Aberporth,1958,4,10.6,4.6,4
Aberporth,1958,5,13.4,7.8,0
Aberporth,1958,6,16.0,10.0,0
Aberporth,1958,7,17.1,11.7,0
Aberporth,1958,8,17.2,12.7,0
Aberporth,1958,9,17.6,12.1,0
Aberporth,1958,10,13.1,9.0,0
Aberporth,1958,11,10.4,5.8,0
Aberporth,1958,12,8.3,3.8,1
Aberporth,1959,1,6.4,2.1,5
Aberporth,1959,2,8.8,2.9,6
Aberporth,1959,3,10.1,5.2,0
Aberporth,1959,4,11.5,6.4,0
Aberporth,1959,5,15.5,8.9,0
Aberporth,1959,6,17.3,10.9,0
Aberporth,1959,7,19.1,12.7,0
Aberporth,1959,8,19.1,13.0,0
Aberporth,1959,9,19.6,11.5,0
Aberporth,1959,10,16.2,10.8,0
Aberporth,1959,11,10.5,6.6,0
Aberporth,1959,12,9.1,4.9,0
Aberporth,1960,1,7.9,3.4,4
Aberporth,1960,2,7.1,2.3,5
Aberporth,1960,3,10.0,4.2,0
Aberporth,1960,4,10.9,5.6,0
Aberporth,1960,5,15.5,9.2,0
Aberporth,1960,6,18.0,11.6,0
Aberporth,1960,7,17.0,11.9,0
Aberporth,1960,8,17.0,12.0,0
Aberporth,1960,9,15.7,10.6,0
Aberporth,1960,10,13.0,8.4,0
Aberporth,1960,11,10.3,5.8,0
Aberporth,1960,12,7.3,2.8,6
Aberporth,1961,1,7.2,2.3,7
Aberporth,1961,2,9.5,5.6,0
Aberporth,1961,3,11.0,5.7,0
Aberporth,1961,4,12.4,6.7,0
Aberporth,1961,5,13.8,7.7,0
Aberporth,1961,6,16.7,10.2,0
Aberporth,1961,7,16.9,11.6,0
Aberporth,1961,8,17.6,12.1,0
Aberporth,1961,9,17.7,11.9,0
Aberporth,1961,10,13.4,8.5,0
Aberporth,1961,11,9.5,5.1,0
Aberporth,1961,12,6.5,1.7,15
Aberporth,1962,1,7.8,2.8,4
Aberporth,1962,2,7.4,3.2,5
Aberporth,1962,3,6.4,0.5,14
Aberporth,1962,4,10.3,4.4,1
Aberporth,1962,5,12.1,7.3,0
Aberporth,1962,6,16.0,9.3,0
Aberporth,1962,7,17.0,11.4,0
Aberporth,1962,8,16.2,11.5,0
Aberporth,1962,9,15.0,10.4,0
Aberporth,1962,10,13.9,8.2,0
Aberporth,1962,11,8.9,4.6,0
Aberporth,1962,12,6.4,1.8,9
Aberporth,1963,1,1.3,-3.5,26
Aberporth,1963,2,3.3,-1.9,22
Aberporth,1963,3,8.9,3.9,2
Aberporth,1963,4,10.9,5.4,0
Aberporth,1963,5,12.6,7.1,0
Aberporth,1963,6,16.9,10.7,0
Aberporth,1963,7,17.3,11.4,0
Aberporth,1963,8,16.3,11.5,0
Aberporth,1963,9,15.8,10.3,0
Aberporth,1963,10,13.8,9.0,0
Aberporth,1963,11,11.1,6.9,0
Aberporth,1963,12,6.2,1.2,12
Aberporth,1964,1,6.9,2.5,6
Aberporth,1964,2,7.3,2.9,6
Aberporth,1964,3,7.9,2.8,4
Aberporth,1964,4,11.0,5.6,0
Aberporth,1964,5,15.3,9.2,0
Aberporth,1964,6,15.6,10.3,0
Aberporth,1964,7,17.2,12.2,0
Aberporth,1964,8,17.7,12.0,0
Aberporth,1964,9,17.3,11.1,0
Aberporth,1964,10,12.8,7.4,0
Aberporth,1964,11,11.0,6.2,1
Aberporth,1964,12,7.8,2.4,5
Aberporth,1965,1,6.8,2.5,9
Aberporth,1965,2,5.6,1.4,8
Aberporth,1965,3,9.2,3.2,6
Aberporth,1965,4,11.0,5.2,0
Aberporth,1965,5,14.2,8.2,0
Aberporth,1965,6,15.8,9.9,0
Aberporth,1965,7,16.1,10.9,0
Aberporth,1965,8,17.7,12.0,0
Aberporth,1965,9,14.5,9.5,0
Aberporth,1965,10,15.1,8.8,0
Aberporth,1965,11,8.1,3.6,6
Aberporth,1965,12,8.8,4.2,3
Aberporth,1966,1,6.0,2.2,11
Aberporth,1966,2,8.3,4.2,3
Aberporth,1966,3,9.3,4.8,0
Aberporth,1966,4,10.7,5.1,2
Aberporth,1966,5,13.8,7.3,0
Aberporth,1966,6,16.8,11.2,0
Aberporth,1966,7,16.3,11.8,0
Aberporth,1966,8,17.0,11.1,0
Aberporth,1966,9,17.0,11.1,0
Aberporth,1966,10,13.1,8.0,0
Aberporth,1966,11,8.5,4.7,0
Aberporth,1966,12,8.9,4.9,0
Aberporth,1967,1,7.4,3.4,3
Aberporth,1967,2,8.1,3.3,2
Aberporth,1967,3,9.1,4.6,0
Aberporth,1967,4,9.8,5.1,1
Aberporth,1967,5,12.0,6.7,0
Aberporth,1967,6,16.3,10.1,0
Aberporth,1967,7,18.2,11.9,0
Aberporth,1967,8,17.5,11.9,0
Aberporth,1967,9,15.5,10.8,0
Aberporth,1967,10,12.9,8.5,0
Aberporth,1967,11,9.2,3.9,1
Aberporth,1967,12,8.1,4.2,5
Aberporth,1968,1,7.8,3.1,6
Aberporth,1968,2,5.5,0.2,12
Aberporth,1968,3,8.6,3.6,3
Aberporth,1968,4,10.8,4.2,3
Aberporth,1968,5,12.0,6.4,0
Aberporth,1968,6,16.4,10.3,0
Aberporth,1968,7,16.8,11.3,0
Aberporth,1968,8,18.0,12.6,0
Aberporth,1968,9,15.8,10.9,0
Aberporth,1968,10,14.7,10.8,0
Aberporth,1968,11,9.4,5.2,3
Aberporth,1968,12,6.7,2.4,5
Aberporth,1969,1,7.9,4.1,2
Aberporth,1969,2,4.5,0.1,13
Aberporth,1969,3,7.5,2.0,5
Aberporth,1969,4,10.5,4.5,0
Aberporth,1969,5,13.1,7.5,0
Aberporth,1969,6,16.2,9.6,0
Aberporth,1969,7,18.5,12.1,0
Aberporth,1969,8,17.2,12.5,0
Aberporth,1969,9,16.1,11.4,0
Aberporth,1969,10,16.1,10.8,0
Aberporth,1969,11,9.0,4.2,2
Aberporth,1969,12,6.8,2.4,8
Aberporth,1970,1,7.5,3.1,7
Aberporth,1970,2,6.2,1.9,7
Aberporth,1970,3,6.6,2.0,8
Aberporth,1970,4,8.8,4.2,2
Aberporth,1970,5,14.5,8.5,0
Aberporth,1970,6,18.5,11.5,0
Aberporth,1970,7,16.6,11.3,0
Aberporth,1970,8,17.8,12.3,0
Aberporth,1970,9,16.8,11.5,0
Aberporth,1970,10,13.3,8.6,0
Aberporth,1970,11,10.8,6.4,0
Aberporth,1970,12,7.5,3.3,6
Aberporth,1971,1,7.7,3.5,4
Aberporth,1971,2,7.4,2.7,4
Aberporth,1971,3,7.5,3.1,5
Aberporth,1971,4,10.7,4.7,0
Aberporth,1971,5,14.2,7.5,0
Aberporth,1971,6,14.7,9.1,0
Aberporth,1971,7,18.4,12.3,0
Aberporth,1971,8,17.2,12.5,0
Aberporth,1971,9,18.2,11.2,0
Aberporth,1971,10,14.9,9.1,0
Aberporth,1971,11,10.2,5.2,2
Aberporth,1971,12,9.0,5.3,2
Aberporth,1972,1,6.8,2.8,3
Aberporth,1972,2,7.0,2.7,1
Aberporth,1972,3,9.1,3.8,2
Aberporth,1972,4,10.2,5.6,0
Aberporth,1972,5,12.0,6.9,0
Aberporth,1972,6,12.9,7.7,0
Aberporth,1972,7,17.0,11.7,0
Aberporth,1972,8,16.5,11.2,0
Aberporth,1972,9,15.2,9.0,0
Aberporth,1972,10,13.9,8.5,0
Aberporth,1972,11,9.6,5.6,1
Aberporth,1972,12,9.2,4.7,0
Aberporth,1973,1,7.4,3.5,5
Aberporth,1973,2,7.1,3.2,4
Aberporth,1973,3,9.1,3.5,0
Aberporth,1973,4,9.2,4.5,2
Aberporth,1973,5,14.2,7.9,0
Aberporth,1973,6,16.2,10.0,0
Aberporth,1973,7,16.8,11.6,0
Aberporth,1973,8,19.5,13.2,0
Aberporth,1973,9,16.9,11.3,0
Aberporth,1973,10,12.8,7.9,0
Aberporth,1973,11,10.1,5.9,0
Aberporth,1973,12,8.4,3.7,5
Aberporth,1974,1,8.6,3.8,2
Aberporth,1974,2,7.9,3.1,0
Aberporth,1974,3,8.5,3.0,2
Aberporth,1974,4,12.4,5.2,0
Aberporth,1974,5,13.0,6.9,0
Aberporth,1974,6,15.8,10.1,0
Aberporth,1974,7,16.7,11.6,0
Aberporth,1974,8,17.1,11.1,0
Aberporth,1974,9,14.0,9.2,0
Aberporth,1974,10,10.5,6.8,0
Aberporth,1974,11,9.3,5.2,0
Aberporth,1974,12,9.9,6.2,0
Aberporth,1975,1,9.1,5.0,0
Aberporth,1975,2,8.7,2.8,0
Aberporth,1975,3,7.2,3.0,3
Aberporth,1975,4,10.3,5.0,1
Aberporth,1975,5,12.5,6.6,0
Aberporth,1975,6,17.0,10.5,0
Aberporth,1975,7,18.7,13.0,0
Aberporth,1975,8,19.3,13.6,0
Aberporth,1975,9,15.6,10.0,0
Aberporth,1975,10,13.4,7.9,0
Aberporth,1975,11,9.9,5.2,0
Aberporth,1975,12,8.3,4.6,3
Aberporth,1976,1,8.0,4.9,2
Aberporth,1976,2,7.1,2.6,5
Aberporth,1976,3,8.1,2.2,5
Aberporth,1976,4,10.5,4.4,0
Aberporth,1976,5,13.5,7.6,0
Aberporth,1976,6,18.9,11.1,0
Aberporth,1976,7,19.6,13.2,0
Aberporth,1976,8,20.4,13.5,0
Aberporth,1976,9,15.6,10.6,0
Aberporth,1976,10,12.7,7.5,0
Aberporth,1976,11,9.7,5.1,0
Aberporth,1976,12,5.6,1.6,6
Aberporth,1977,1,5.9,1.8,8
Aberporth,1977,2,8.3,3.4,2
Aberporth,1977,3,9.8,4.7,0
Aberporth,1977,4,9.3,4.7,0
Aberporth,1977,5,13.7,6.8,0
Aberporth,1977,6,14.3,8.9,0
Aberporth,1977,7,18.1,12.3,0
Aberporth,1977,8,18.0,11.7,0
Aberporth,1977,9,15.1,10.4,0
Aberporth,1977,10,14.7,9.8,0
Aberporth,1977,11,9.0,4.8,5
Aberporth,1977,12,8.7,4.9,0
Aberporth,1978,1,6.6,2.5,3
Aberporth,1978,2,5.5,1.5,13
Aberporth,1978,3,9.0,3.9,3
Aberporth,1978,4,9.4,3.7,2
Aberporth,1978,5,13.9,7.9,0
Aberporth,1978,6,15.2,9.8,0
Aberporth,1978,7,15.7,11.1,0
Aberporth,1978,8,16.3,11.5,0
Aberporth,1978,9,16.1,11.2,0
Aberporth,1978,10,14.4,10.3,0
Aberporth,1978,11,11.2,7.1,2
Aberporth,1978,12,7.7,3.3,5
Aberporth,1979,1,4.6,-0.4,17
Aberporth,1979,2,4.5,0.3,12
Aberporth,1979,3,6.9,2.2,3
Aberporth,1979,4,9.7,4.3,1
Aberporth,1979,5,11.6,5.4,0
Aberporth,1979,6,15.5,9.6,0
Aberporth,1979,7,17.6,11.9,0
Aberporth,1979,8,16.8,11.2,0
Aberporth,1979,9,15.7,10.3,0
Aberporth,1979,10,13.9,9.1,0
Aberporth,1979,11,10.4,5.7,1
Aberporth,1979,12,8.9,4.4,3
Aberporth,1980,1,5.8,1.0,9
Aberporth,1980,2,8.7,4.3,0
Aberporth,1980,3,7.5,2.9,4
Aberporth,1980,4,10.5,5.6,0
Aberporth,1980,5,14.5,7.2,0
Aberporth,1980,6,15.2,10.2,0
Aberporth,1980,7,16.6,11.0,0
Aberporth,1980,8,17.7,12.5,0
Aberporth,1980,9,16.4,11.5,0
Aberporth,1980,10,11.8,7.2,0
Aberporth,1980,11,9.1,5.5,2
Aberporth,1980,12,8.9,4.4,3
Aberporth,1981,1,8.0,3.6,1
Aberporth,1981,2,6.4,1.1,12
Aberporth,1981,3,9.9,5.7,1
Aberporth,1981,4,11.2,5.1,0
Aberporth,1981,5,13.8,7.4,0
Aberporth,1981,6,15.0,9.8,0
Aberporth,1981,7,16.5,11.6,0
Aberporth,1981,8,18.4,12.5,0
Aberporth,1981,9,17.3,10.8,0
Aberporth,1981,10,11.0,6.5,0
Aberporth,1981,11,10.7,6.2,0
Aberporth,1981,12,5.5,0.6,12
Aberporth,1982,1,6.2,2.5,9
Aberporth,1982,2,8.2,3.0,5
Aberporth,1982,3,8.7,3.3,0
Aberporth,1982,4,10.7,5.3,0
Aberporth,1982,5,14.5,7.5,0
Aberporth,1982,6,17.8,10.7,0
Aberporth,1982,7,17.9,12.3,0
Aberporth,1982,8,17.2,12.0,0
Aberporth,1982,9,16.6,10.7,0
Aberporth,1982,10,12.7,7.9,0
Aberporth,1982,11,10.6,6.4,0
Aberporth,1982,12,8.1,3.2,3
Aberporth,1983,1,9.1,5.0,1
Aberporth,1983,2,5.3,0.5,15
Aberporth,1983,3,8.7,4.4,0
Aberporth,1983,4,9.1,3.4,1
Aberporth,1983,5,12.1,6.8,0
Aberporth,1983,6,15.9,10.2,0
Aberporth,1983,7,20.7,13.9,0
Aberporth,1983,8,19.7,13.1,0
Aberporth,1983,9,16.0,10.8,0
Aberporth,1983,10,13.2,8.1,1
Aberporth,1983,11,10.6,5.8,4
Aberporth,1983,12,9.3,4.9,0
Aberporth,1984,1,7.4,2.4,2
Aberporth,1984,2,7.1,2.2,7
Aberporth,1984,3,7.0,2.2,3
Aberporth,1984,4,12.5,5.1,1
Aberporth,1984,5,12.2,6.4,0
Aberporth,1984,6,15.9,9.8,0
Aberporth,1984,7,18.9,11.9,0
Aberporth,1984,8,19.9,13.2,0
Aberporth,1984,9,15.5,11.3,0
Aberporth,1984,10,13.6,8.4,0
Aberporth,1984,11,10.2,6.0,0
Aberporth,1984,12,8.6,3.8,1
Aberporth,1985,1,5.0,-0.3,17
Aberporth,1985,2,6.5,1.2,11
Aberporth,1985,3,7.5,2.3,6
Aberporth,1985,4,10.8,5.5,0
Aberporth,1985,5,12.9,7.4,0
Aberporth,1985,6,14.6,8.7,0
Aberporth,1985,7,17.4,11.5,0
Aberporth,1985,8,16.3,10.6,0
Aberporth,1985,9,17.2,11.2,0
Aberporth,1985,10,13.4,8.2,0
Aberporth,1985,11,7.8,3.1,1
Aberporth,1985,12,8.9,4.7,4
Aberporth,1986,1,6.7,2.7,3
Aberporth,1986,2,2.3,-2.7,24
Aberporth,1986,3,8.0,2.3,4
Aberporth,1986,4,7.6,2.6,2
Aberporth,1986,5,13.1,7.3,0
Aberporth,1986,6,17.6,10.4,0
Aberporth,1986,7,16.8,11.6,0
Aberporth,1986,8,15.2,10.3,0
Aberporth,1986,9,14.4,8.0,0
Aberporth,1986,10,13.7,8.8,0
Aberporth,1986,11,10.6,5.7,0
Aberporth,1986,12,9.3,4.5,0
Aberporth,1987,1,4.2,0.0,16
Aberporth,1987,2,6.7,1.7,11
Aberporth,1987,3,7.3,2.1,10
Aberporth,1987,4,13.4,6.7,0
Aberporth,1987,5,12.1,7.3,0
Aberporth,1987,6,14.3,9.2,0
Aberporth,1987,7,17.4,12.1,0
Aberporth,1987,8,17.5,12.3,0
Aberporth,1987,9,16.3,10.6,0
Aberporth,1987,10,12.7,7.0,0
Aberporth,1987,11,9.4,5.3,0
Aberporth,1987,12,8.2,4.3,6
Aberporth,1988,1,7.9,3.7,0
Aberporth,1988,2,7.2,2.8,1
Aberporth,1988,3,8.5,4.6,2
Aberporth,1988,4,11.3,4.9,1
Aberporth,1988,5,13.9,7.7,0
Aberporth,1988,6,16.4,10.6,0
Aberporth,1988,7,15.8,11.0,0
Aberporth,1988,8,16.9,11.2,0
Aberporth,1988,9,15.3,10.5,0
Aberporth,1988,10,13.4,8.4,0
Aberporth,1988,11,9.9,3.9,2
Aberporth,1988,12,9.8,6.8,0
Aberporth,1989,1,8.9,4.6,2
Aberporth,1989,2,8.7,3.6,2
Aberporth,1989,3,9.9,4.3,3
Aberporth,1989,4,9.5,3.4,1
Aberporth,1989,5,15.5,8.8,0
Aberporth,1989,6,16.7,9.9,0
Aberporth,1989,7,19.7,13.0,0
Aberporth,1989,8,18.4,12.5,0
Aberporth,1989,9,16.4,11.0,0
Aberporth,1989,10,13.9,9.6,0
Aberporth,1989,11,10.5,5.2,2
Aberporth,1989,12,8.0,2.9,3
Aberporth,1990,1,9.1,4.8,0
Aberporth,1990,2,9.9,4.6,0
Aberporth,1990,3,10.5,5.3,0
Aberporth,1990,4,11.0,4.6,3
Aberporth,1990,5,15.7,8.8,0
Aberporth,1990,6,15.7,10.0,0
Aberporth,1990,7,20.1,12.7,0
Aberporth,1990,8,19.8,13.7,0
Aberporth,1990,9,15.7,10.4,0
Aberporth,1990,10,14.3,9.9,0
Aberporth,1990,11,9.6,5.5,0
Aberporth,1990,12,7.5,2.8,3
Aberporth,1991,1,6.1,1.2,10
Aberporth,1991,2,5.4,-0.1,15
Aberporth,1991,3,10.0,5.0,0
Aberporth,1991,4,10.6,5.0,0
Aberporth,1991,5,12.6,7.6,0
Aberporth,1991,6,14.3,9.0,0
Aberporth,1991,7,19.0,13.0,0
Aberporth,1991,8,19.5,12.8,0
Aberporth,1991,9,18.2,11.6,0
Aberporth,1991,10,12.6,8.1,0
Aberporth,1991,11,9.7,5.4,0
Aberporth,1991,12,7.9,3.8,4
Aberporth,1992,1,7.3,2.1,13
Aberporth,1992,2,8.6,4.4,0
Aberporth,1992,3,9.6,4.9,0
Aberporth,1992,4,11.2,5.4,0
Aberporth,1992,5,16.6,9.1,0
Aberporth,1992,6,17.6,11.0,0
Aberporth,1992,7,17.8,12.4,0
Aberporth,1992,8,16.6,11.3,0
Aberporth,1992,9,15.2,10.3,0
Aberporth,1992,10,10.6,6.7,0
Aberporth,1992,11,10.5,5.9,0
Aberporth,1992,12,7.2,2.6,5
Aberporth,1993,1,8.9,3.8,1
Aberporth,1993,2,7.3,3.7,1
Aberporth,1993,3,8.8,4.4,0
Aberporth,1993,4,11.8,6.5,0
Aberporth,1993,5,13.8,7.8,0
Aberporth,1993,6,15.9,10.6,0
Aberporth,1993,7,16.6,11.6,0
Aberporth,1993,8,16.6,10.9,0
Aberporth,1993,9,15.2,9.9,0
Aberporth,1993,10,11.1,6.1,0
Aberporth,1993,11,8.1,3.1,6
Aberporth,1993,12,8.5,4.2,1
Aberporth,1994,1,8.1,3.6,1
Aberporth,1994,2,6.4,1.7,6
Aberporth,1994,3,9.5,5.3,0
Aberporth,1994,4,10.0,4.8,0
Aberporth,1994,5,13.5,7.4,0
Aberporth,1994,6,16.0,9.9,0
Aberporth,1994,7,18.8,12.2,0
Aberporth,1994,8,17.7,12.0,0
Aberporth,1994,9,14.7,10.1,0
Aberporth,1994,10,13.6,8.5,0
Aberporth,1994,11,12.2,8.8,0
Aberporth,1994,12,9.8,5.2,2
Aberporth,1995,1,8.4,3.5,2
Aberporth,1995,2,9.2,4.5,0
Aberporth,1995,3,8.3,2.8,4
Aberporth,1995,4,10.8,5.5,2
Aberporth,1995,5,14.0,7.7,0
Aberporth,1995,6,16.5,10.6,0
Aberporth,1995,7,21.1,13.9,0
Aberporth,1995,8,22.4,14.9,0
Aberporth,1995,9,15.9,11.2,0
Aberporth,1995,10,15.5,10.8,0
Aberporth,1995,11,10.7,5.8,0
Aberporth,1995,12,6.0,1.8,9
Aberporth,1996,1,6.9,3.4,8
Aberporth,1996,2,6.0,1.1,13
Aberporth,1996,3,7.7,3.0,3
Aberporth,1996,4,11.1,4.9,0
Aberporth,1996,5,11.8,5.4,0
Aberporth,1996,6,15.7,9.8,0
Aberporth,1996,7,17.8,12.0,0
